id,patient_text,relative_text,severity
5318,I feel calm and normal,Mood fluctuates frequently,9
5319,I feel emotionally numb,She seems withdrawn and quiet,7
5320,I feel tired and hopeless,She seems withdrawn and quiet,3
5321,I feel sad without any clear reason,He avoids family and sleeps a lot,1
5322,I feel fine and stable,Seems happy and social,8
5323,I feel calm and normal,She seems withdrawn and quiet,7
5324,I feel disconnected from people,Seems happy and social,7
5325,I feel worried about everything,He avoids family and sleeps a lot,7
5326,I feel anxious most of the day,Behavior appears normal,6
5327,I feel anxious most of the day,Mood fluctuates frequently,9
5328,I feel sad without any clear reason,Actively interacts with family,1
5329,I feel tired and hopeless,Seems happy and social,9
5330,I feel calm and normal,Seems happy and social,10
5331,I feel tired and hopeless,Often prefers to stay alone,9
5332,I feel fine and stable,Actively interacts with family,6
5333,I feel stressed and overwhelmed,Shows signs of irritability,6
5334,I feel fine and stable,He avoids family and sleeps a lot,1
5335,I feel tired and hopeless,She seems withdrawn and quiet,8
5336,I feel anxious most of the day,Actively interacts with family,1
5337,I feel tired and hopeless,Shows signs of irritability,2
5338,I feel disconnected from people,Mood fluctuates frequently,4
5339,I feel calm and normal,No major change noticed,4
5340,I feel disconnected from people,Appears emotionally distant,6
5341,I feel calm and normal,Shows signs of irritability,3
5342,I feel fine and stable,No major change noticed,3
5343,I feel motivated and energetic,No major change noticed,1
5344,I feel tired and hopeless,He avoids family and sleeps a lot,10
5345,I feel worried about everything,Often prefers to stay alone,1
5346,I feel fine and stable,Appears emotionally distant,5
5347,I feel emotionally numb,Behavior appears normal,6
5348,I feel disconnected from people,He avoids family and sleeps a lot,2
5349,I feel fine and stable,Behavior appears normal,10
5350,I feel motivated and energetic,Behavior appears normal,2
5351,I feel fine and stable,Mood fluctuates frequently,1
5352,I feel fine and stable,No major change noticed,2
5353,I feel anxious most of the day,Shows signs of irritability,1
5354,I feel sad without any clear reason,Behavior appears normal,7
5355,I feel motivated and energetic,No major change noticed,6
5356,I feel worried about everything,Seems happy and social,10
5357,I feel stressed and overwhelmed,Shows signs of irritability,5
5358,I feel motivated and energetic,No major change noticed,7
5359,I feel tired and hopeless,Shows signs of irritability,5
5360,I feel motivated and energetic,Behavior appears normal,4
5361,I feel motivated and energetic,He avoids family and sleeps a lot,10
5362,I feel tired and hopeless,Often prefers to stay alone,4
5363,I feel fine and stable,Seems happy and social,6
5364,I feel sad without any clear reason,Seems happy and social,4
5365,I feel anxious most of the day,No major change noticed,3
5366,I feel fine and stable,Actively interacts with family,8
5367,I feel anxious most of the day,Mood fluctuates frequently,4
5368,I feel motivated and energetic,No major change noticed,8
5369,I feel motivated and energetic,She seems withdrawn and quiet,9
5370,I feel stressed and overwhelmed,He avoids family and sleeps a lot,2
5371,I feel worried about everything,Appears emotionally distant,3
5372,I feel worried about everything,Appears emotionally distant,3
5373,I feel motivated and energetic,Behavior appears normal,9
5374,I feel emotionally numb,Behavior appears normal,5
5375,I feel motivated and energetic,Often prefers to stay alone,6
5376,I feel anxious most of the day,Shows signs of irritability,10
5377,I feel calm and normal,Often prefers to stay alone,5
5378,I feel stressed and overwhelmed,Often prefers to stay alone,4
5379,I feel stressed and overwhelmed,Behavior appears normal,8
5380,I feel tired and hopeless,No major change noticed,7
5381,I feel fine and stable,He avoids family and sleeps a lot,1
5382,I feel fine and stable,She seems withdrawn and quiet,9
5383,I feel anxious most of the day,Mood fluctuates frequently,2
5384,I feel tired and hopeless,Seems happy and social,4
5385,I feel stressed and overwhelmed,Mood fluctuates frequently,7
5386,I feel motivated and energetic,He avoids family and sleeps a lot,5
5387,I feel stressed and overwhelmed,Often prefers to stay alone,1
5388,I feel emotionally numb,Actively interacts with family,10
5389,I feel tired and hopeless,Appears emotionally distant,8
5390,I feel tired and hopeless,Often prefers to stay alone,3
5391,I feel fine and stable,Mood fluctuates frequently,1
5392,I feel disconnected from people,He avoids family and sleeps a lot,9
5393,I feel disconnected from people,She seems withdrawn and quiet,10
5394,I feel worried about everything,Actively interacts with family,6
5395,I feel stressed and overwhelmed,Mood fluctuates frequently,6
5396,I feel motivated and energetic,Often prefers to stay alone,8
5397,I feel emotionally numb,Shows signs of irritability,6
5398,I feel sad without any clear reason,No major change noticed,6
5399,I feel stressed and overwhelmed,Behavior appears normal,1
5400,I feel tired and hopeless,She seems withdrawn and quiet,4
5401,I feel tired and hopeless,Appears emotionally distant,4
5402,I feel stressed and overwhelmed,Appears emotionally distant,3
5403,I feel fine and stable,Behavior appears normal,6
5404,I feel fine and stable,Appears emotionally distant,2
5405,I feel sad without any clear reason,Often prefers to stay alone,6
5406,I feel sad without any clear reason,Seems happy and social,5
5407,I feel tired and hopeless,Appears emotionally distant,1
5408,I feel sad without any clear reason,She seems withdrawn and quiet,4
5409,I feel stressed and overwhelmed,Seems happy and social,6
5410,I feel worried about everything,Seems happy and social,6
5411,I feel fine and stable,He avoids family and sleeps a lot,10
5412,I feel sad without any clear reason,Mood fluctuates frequently,5
5413,I feel anxious most of the day,Appears emotionally distant,6
5414,I feel anxious most of the day,He avoids family and sleeps a lot,5
5415,I feel stressed and overwhelmed,Often prefers to stay alone,8
5416,I feel fine and stable,Shows signs of irritability,7
5417,I feel calm and normal,Behavior appears normal,10
5418,I feel emotionally numb,Seems happy and social,4
5419,I feel sad without any clear reason,Actively interacts with family,10
5420,I feel emotionally numb,He avoids family and sleeps a lot,10
5421,I feel tired and hopeless,Mood fluctuates frequently,6
5422,I feel motivated and energetic,Actively interacts with family,10
5423,I feel stressed and overwhelmed,Often prefers to stay alone,4
5424,I feel sad without any clear reason,She seems withdrawn and quiet,7
5425,I feel sad without any clear reason,He avoids family and sleeps a lot,5
5426,I feel motivated and energetic,He avoids family and sleeps a lot,1
5427,I feel fine and stable,Actively interacts with family,8
5428,I feel worried about everything,Seems happy and social,3
5429,I feel calm and normal,No major change noticed,4
5430,I feel fine and stable,Shows signs of irritability,10
5431,I feel disconnected from people,Shows signs of irritability,8
5432,I feel emotionally numb,Behavior appears normal,1
5433,I feel fine and stable,Shows signs of irritability,6
5434,I feel tired and hopeless,Shows signs of irritability,7
5435,I feel fine and stable,Behavior appears normal,5
5436,I feel worried about everything,He avoids family and sleeps a lot,8
5437,I feel tired and hopeless,Seems happy and social,2
5438,I feel motivated and energetic,Behavior appears normal,4
5439,I feel anxious most of the day,Behavior appears normal,9
5440,I feel tired and hopeless,Seems happy and social,9
5441,I feel emotionally numb,Actively interacts with family,4
5442,I feel sad without any clear reason,No major change noticed,4
5443,I feel worried about everything,Shows signs of irritability,9
5444,I feel tired and hopeless,No major change noticed,8
5445,I feel anxious most of the day,Shows signs of irritability,1
5446,I feel tired and hopeless,He avoids family and sleeps a lot,2
5447,I feel motivated and energetic,Seems happy and social,9
5448,I feel tired and hopeless,Mood fluctuates frequently,2
5449,I feel sad without any clear reason,No major change noticed,7
5450,I feel calm and normal,Mood fluctuates frequently,1
5451,I feel disconnected from people,Actively interacts with family,10
5452,I feel emotionally numb,She seems withdrawn and quiet,1
5453,I feel anxious most of the day,No major change noticed,3
5454,I feel motivated and energetic,Behavior appears normal,8
5455,I feel emotionally numb,Behavior appears normal,5
5456,I feel anxious most of the day,She seems withdrawn and quiet,4
5457,I feel disconnected from people,Appears emotionally distant,6
5458,I feel calm and normal,Often prefers to stay alone,4
5459,I feel stressed and overwhelmed,He avoids family and sleeps a lot,3
5460,I feel worried about everything,Seems happy and social,2
5461,I feel worried about everything,Seems happy and social,8
5462,I feel disconnected from people,Appears emotionally distant,5
5463,I feel fine and stable,Appears emotionally distant,10
5464,I feel fine and stable,Appears emotionally distant,8
5465,I feel tired and hopeless,Appears emotionally distant,4
5466,I feel stressed and overwhelmed,He avoids family and sleeps a lot,8
5467,I feel fine and stable,He avoids family and sleeps a lot,1
5468,I feel tired and hopeless,Mood fluctuates frequently,9
5469,I feel worried about everything,Shows signs of irritability,10
5470,I feel emotionally numb,Often prefers to stay alone,8
5471,I feel sad without any clear reason,Shows signs of irritability,7
5472,I feel tired and hopeless,She seems withdrawn and quiet,8
5473,I feel calm and normal,Seems happy and social,1
5474,I feel tired and hopeless,She seems withdrawn and quiet,8
5475,I feel emotionally numb,Often prefers to stay alone,2
5476,I feel tired and hopeless,Seems happy and social,2
5477,I feel anxious most of the day,Often prefers to stay alone,1
5478,I feel tired and hopeless,Behavior appears normal,5
5479,I feel motivated and energetic,He avoids family and sleeps a lot,5
5480,I feel anxious most of the day,No major change noticed,4
5481,I feel motivated and energetic,Behavior appears normal,3
5482,I feel disconnected from people,Seems happy and social,5
5483,I feel motivated and energetic,Shows signs of irritability,4
5484,I feel disconnected from people,Often prefers to stay alone,2
5485,I feel stressed and overwhelmed,Often prefers to stay alone,2
5486,I feel worried about everything,Often prefers to stay alone,3
5487,I feel motivated and energetic,He avoids family and sleeps a lot,3
5488,I feel stressed and overwhelmed,Shows signs of irritability,7
